CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Balance_to_Salary,Age_Bucket,Tenure_Group,Engagement_Score,Product_Usage_Index,Dormant_Risk,Customer_Value_Score,Wealth_Flag,Loyalty_Index,Churn_Probability,Risk_Band,Retention_Action,Expected_Revenue_Loss
619,France,Female,42,2,0.0,1,1,1,101348.88,1,0.0,40-50,New,2,0.3333333333333333,0,30.590364,0,3.0,0.6001127383586299,High Risk,Immediate outreach — Dedicated RM call + Premium offer,608.2075390638018
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0.7446702868346644,40-50,New,1,0.5,0,67.468318,0,1.5,0.45145980014824194,Medium Risk,Proactive engagement — Email + Product upgrade offer,1264.8021012787121
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,1.401362226797833,40-50,Veteran,1,0.3333333333333333,1,98.19439100000001,1,12.0,0.9244144535287656,High Risk,Immediate outreach — Dedicated RM call + Premium offer,4005.0549238515537
699,France,Female,39,1,0.0,2,0,0,93826.63,0,0.0,30-40,New,0,1.0,0,28.357689,0,1.0,0.22399713908972707,Low Risk,Maintain relationship — Monthly newsletter,210.1689669043036
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,1.5870349787760274,40-50,New,2,0.3333333333333333,0,74.18455800000001,1,3.0,0.39070212714747926,Medium Risk,Proactive engagement — Email + Product upgrade offer,1289.7301480159276
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0.7595988213227887,40-50,Veteran,1,0.2222222222222222,1,90.622825,1,8.0,0.5708836801858177,Medium Risk,Proactive engagement — Email + Product upgrade offer,2153.7629839493675
822,France,Male,50,7,0.0,2,1,1,10062.8,0,0.0,40-50,Senior,3,0.25,0,3.2654399999999995,0,21.0,0.14053571880444082,Low Risk,Maintain relationship — Monthly newsletter,14.14182831185327
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0.9639613204692031,<30,Mid,1,0.8,1,81.93556000000001,1,8.0,0.8382505274440065,High Risk,Immediate outreach — Dedicated RM call + Premium offer,2929.1856608022354
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,1.8954927510124564,40-50,Mid,2,0.4,0,79.45287800000001,1,12.0,0.4074822407678683,Medium Risk,Proactive engagement — Email + Product upgrade offer,1463.0349947841107
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,1.8766208915421072,<30,New,2,0.3333333333333333,0,75.56447100000001,1,3.0,0.17014252632211133,Low Risk,Maintain relationship — Monthly newsletter,580.0728529641427
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,1.2723125804106952,30-40,Senior,0,0.2857142857142857,1,65.019424,1,6.0,0.2272194183157414,Low Risk,Maintain relationship — Monthly newsletter,645.7906700006438
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0.0,<30,Mid,1,0.5,0,23.066102999999995,0,3.0,0.1114629763513185,Low Risk,Maintain relationship — Monthly newsletter,85.14657878106982
476,France,Female,34,10,0.0,2,1,0,26260.98,0,0.0,30-40,Veteran,1,0.18181818181818182,0,8.021094,0,10.0,0.11390596519843005,Low Risk,Maintain relationship — Monthly newsletter,29.912822739566675
549,France,Female,25,5,0.0,2,0,0,190857.79,0,0.0,<30,Mid,0,0.3333333333333333,0,57.422036999999996,0,5.0,0.1354821168564653,Low Risk,Maintain relationship — Monthly newsletter,258.57817407746717
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0.0,30-40,Senior,3,0.25,0,19.975994999999998,0,21.0,0.08738806849990181,Low Risk,Maintain relationship — Monthly newsletter,57.63387307881549
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,2.224984944408569,40-50,Mid,2,0.5,0,76.73474200000001,1,9.0,0.494058483623582,Medium Risk,Proactive engagement — Email + Product upgrade offer,1732.1002706433583
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,26.00734701402523,50-60,New,1,0.5,1,54.766353,1,0.5,0.9133708487578732,High Risk,Immediate outreach — Dedicated RM call + Premium offer,2468.872732812644
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0.0,<30,Veteran,3,0.2,0,4.486623,0,27.0,0.10865662689150572,Low Risk,Maintain relationship — Monthly newsletter,15.653519162160569
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0.0,40-50,Senior,0,0.14285714285714285,0,47.781543,0,3.0,0.7785316152959538,High Risk,Immediate outreach — Dedicated RM call + Premium offer,1235.4114145223152
726,France,Female,24,6,0.0,2,1,1,54724.03,0,0.0,<30,Senior,3,0.2857142857142857,0,16.635008999999997,0,18.0,0.08008034012569935,Low Risk,Maintain relationship — Monthly newsletter,43.823189354489756
732,France,Male,41,8,0.0,2,1,1,170886.17,0,0.0,40-50,Veteran,3,0.2222222222222222,0,51.485451,0,24.0,0.09967470025757934,Low Risk,Maintain relationship — Monthly newsletter,170.33027772915747
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0.0,30-40,Veteran,1,0.2222222222222222,0,41.757438,0,8.0,0.11208031114909149,Low Risk,Maintain relationship — Monthly newsletter,155.293390682055
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,0.0,30-40,Mid,1,0.2,0,35.827059,0,2.0,0.5701057609708284,Medium Risk,Proactive engagement — Email + Product upgrade offer,677.9328851037743
669,France,Male,46,3,0.0,2,0,1,8487.75,0,0.0,40-50,Mid,2,0.5,0,2.747025,0,9.0,0.17599707785797,Low Risk,Maintain relationship — Monthly newsletter,14.938191975889849
846,France,Female,38,5,0.0,1,1,1,187616.16,0,0.0,30-40,Mid,2,0.16666666666666666,0,56.538648,0,7.5,0.32220505047721154,Medium Risk,Proactive engagement — Email + Product upgrade offer,604.508743031406
577,France,Male,25,3,0.0,2,0,1,124508.29,0,0.0,<30,Mid,2,0.5,0,37.525586999999994,0,9.0,0.07129880667625532,Low Risk,Maintain relationship — Monthly newsletter,88.77292498301132
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0.8045946038927224,30-40,New,2,0.3333333333333333,0,105.96564100000002,1,3.0,0.45614708098608064,Medium Risk,Proactive engagement — Email + Product upgrade offer,2023.8024877616601
571,France,Male,44,9,0.0,2,0,0,38433.35,0,0.0,40-50,Veteran,0,0.2,0,11.701304999999998,0,9.0,0.29332078373213677,Low Risk,Maintain relationship — Monthly newsletter,112.7330034345152
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,1.4108358619852612,40-50,Mid,2,0.25,0,86.76820099999999,1,4.5,0.6482184802854468,High Risk,Immediate outreach — Dedicated RM call + Premium offer,2481.939690259329
